Time(ns),Utilization(%)
9416,99.90
10510,0.00
14092,49.25
14994,0.00
18315,15.88
23130,0.00
30186,54.88
33568,95.49
42176,96.94
49743,97.73
53025,98.11
54000,72.19
57804,77.71
64910,81.95
68723,90.12
75862,91.33
82971,92.22
90106,92.80
93275,98.13
94088,86.15
94831,78.66
99684,84.78
102777,87.52
106292,88.00
113895,89.66
121106,90.56
128275,91.71
129074,82.13
133025,88.76
136210,94.73
143535,94.99
151005,95.13
159830,95.57
168616,95.71
169495,86.65
172727,88.52
176730,93.37
180607,94.51
181444,91.08
184745,92.35
187939,95.25
188637,94.99
189424,94.86
196666,95.25
203744,95.61
212986,95.90
220599,96.17
227851,96.22
234985,96.47
238483,97.33
239210,93.44
239901,91.21
240660,85.09
241392,79.13
244701,79.30
248569,83.51
255758,84.51
259099,85.70
259859,79.64
263051,85.09
266372,90.41
267240,89.24
267968,88.26
268703,82.99
273770,85.76
277666,88.38
281614,90.56
285448,92.26
286242,89.45
289582,92.09
296807,92.28
304180,92.46
311731,92.60
315660,92.81
322930,93.13
323705,89.58
332262,90.01
335785,90.03
339332,90.45
346465,90.90
350412,92.47
351288,89.93
352014,85.48
355229,89.89
362626,90.30
363446,89.67
366866,89.71
374453,90.05
381929,90.43
382709,89.03
391233,89.39
394849,90.20
398224,93.08
401617,95.05
402356,93.55
409750,93.77
410635,93.27
418572,93.53
419365,93.20
423244,93.44
430805,93.60
434418,95.06
441894,95.25
451038,95.35
451846,95.21
459614,95.28
460351,92.50
461094,92.49
468688,92.73
469530,91.63
477251,91.90
481003,91.91
484687,93.99
488136,95.58
488884,94.50
496516,94.58
503905,94.76
504721,94.75
513667,94.87
517674,95.33
518527,94.72
519298,91.71
522848,94.55
530267,94.68
531104,91.57
534879,94.05
542780,94.21
550890,94.32
558748,94.48
566366,94.53
567255,93.98
576153,94.04
583909,94.17
591548,94.24
599024,94.39
599759,91.71
600514,90.51
601299,89.81
605008,91.35
609367,92.85
613404,93.08
617755,93.72
618550,92.38
626932,92.52
627713,90.61
631709,92.42
635500,92.56
641134,93.48
648911,93.60
656718,93.73
664482,93.84
668383,94.98
669111,93.02
670031,92.10
674465,93.76
682133,93.85
682925,91.81
687348,93.05
691183,93.92
691943,91.70
692642,91.03
696440,91.65
700792,92.50
706451,93.54
710604,93.61
711371,91.83
715356,93.31
716081,91.30
716883,90.22
725110,90.42
729364,90.54
730174,90.42
734146,90.76
738499,92.47
746366,92.60
747151,91.61
747838,89.71
751781,91.41
755815,91.83
756598,90.52
764430,90.71
765350,89.37
766108,87.94
775301,88.12
776054,86.32
779983,87.84
787848,88.06
791898,88.95
795837,90.01
799750,91.32
807657,91.47
811684,92.65
820175,92.78
821038,91.23
825443,92.87
833412,93.02
842812,93.14
843707,92.43
847913,92.86
848674,91.65
849406,90.08
857389,90.27
861589,91.77
862314,91.65
864235,91.89
864926,91.83
868742,92.79
876549,92.88
884584,92.99
886781,93.10
890736,93.54
891482,92.70
892459,91.00
897363,91.76
901551,92.17
906330,93.27
907291,91.76
908147,90.07
913581,91.62
917789,91.85
918485,90.40
923377,91.31
928089,92.63
932502,92.67
933288,91.31
937947,92.27
942268,92.82
946238,93.95
954517,94.00
962762,94.10
967175,94.66
975528,94.72
985211,94.81
993704,94.88
1001848,94.97
1006340,95.39
1014462,95.44
1021510,95.51
1022340,94.59
1027064,96.07
1036225,96.11
1044866,96.14
1045650,95.12
1051391,95.95
1052430,94.25
1057083,94.55
1057845,93.71
1062055,95.38
1066435,95.85
1070700,96.49
1078999,96.52
1087197,96.56
1095609,96.59
1104234,96.64
1108859,96.70
1118645,96.72
1127151,96.76
1136158,96.80
1140944,97.26
1145723,97.29
1154163,97.32
1154983,96.67
1155823,95.39
1161102,95.74
1169651,95.79
1170481,95.75
1175026,97.01
1183623,97.06
1184382,96.54
1190439,96.74
1191254,95.50
1196234,96.12
1197070,95.24
1205722,95.30
1206548,94.70
1207301,93.26
1208008,91.76
1208728,91.46
1213313,91.73
1218432,92.84
1219256,92.81
1223659,94.05
1228228,94.62
1232905,95.15
1233749,94.00
1242219,94.09
1243031,92.52
1243776,91.26
1246397,91.31
1251423,91.66
1256607,92.81
1261661,94.01
1266135,94.76
1266958,94.74
1273309,95.27
1281713,95.31
1282487,94.21
1287158,94.56
1292045,95.21
1292859,94.17
1297617,94.32
1298350,92.91
1306883,93.01
1311538,94.36
1316415,94.73
1317255,94.10
1321907,94.36
1326583,94.94
1335366,95.01
1340365,96.01
1350281,96.04
1355705,96.44
1356469,95.40
1357207,94.56
1361816,95.34
1366943,96.26
1375682,96.27
1384314,96.30
1392939,96.33
1401829,96.37
1406875,96.57
1416788,96.58
1425495,96.63
1434375,96.66
1443850,96.69
1453209,96.71
1462379,96.75
1471101,96.79
1472121,95.66
1472873,94.95
1478437,95.34
1483765,96.00
1484577,95.97
1490584,96.27
1495323,96.52
1496071,95.28
1501068,96.48
1501866,95.22
1507268,96.12
1508125,95.40
1511254,95.40
1512002,94.93
1520703,94.96
1526291,95.52
1535303,95.55
1544580,95.61
1553920,95.63
1559011,95.86
1564273,95.94
1574492,95.97
1579798,96.03
1584627,96.36
1589296,96.44
1597955,96.46
1598743,95.95
1608295,96.00
1611384,96.04
1612145,95.98
1620694,96.01
1629848,96.03
1630618,95.00
1636081,95.24
1642265,96.01
1643055,95.05
1649565,95.26
1654899,95.83
1659943,95.88
1665074,96.08
1674001,96.11
1674908,94.94
1680787,95.92
1689927,95.96
1699123,95.99
1704855,96.13
1714219,96.18
1724692,96.22
1725506,95.98
1730989,96.03
1740387,96.05
1746060,96.24
1755474,96.26
1761035,96.30
1761825,95.57
1762506,94.43
1767862,94.77
1773155,95.83
1778209,96.29
1783310,96.34
1792405,96.38
1795662,96.51
1800780,96.56
1811492,96.59
1816863,97.17
1826050,97.18
1835448,97.19
1836286,97.05
1841974,97.18
1842988,96.59
1849100,97.00
1858937,97.02
1864689,97.17
1865491,96.47
1874673,96.50
1881035,97.04
1891543,97.07
1892317,96.08
1898382,96.66
1903669,96.73
1904584,96.11
1905288,95.24
1910559,95.85
1915619,96.71
1924631,96.75
1930242,96.86
1931027,96.10
1940444,96.13
1950482,96.17
1956284,96.52
1957157,96.05
1962652,96.49
1974265,96.52
1975120,96.17
1981557,96.18
1987701,96.44
1992983,97.17
1998199,97.35
2007492,97.36
2017010,97.38
2017864,97.26
2024555,97.27
2025385,96.21
2031112,96.25
2036699,96.29
2042746,96.83
2052684,96.86
2060826,97.10
2061832,96.61
2071783,96.63
2077660,96.87
2078475,96.83
2084663,97.16
2085517,96.66
2086175,95.94
2095711,95.98
2105255,96.01
2106074,95.92
2111939,95.99
2117604,96.42
2123318,96.46
2132785,96.49
2133772,96.12
2139856,96.77
2150818,96.80
2160893,96.83
2170728,96.86
2180674,96.87
2190706,96.90
2196935,97.02
2206454,97.05
2207200,96.34
2217119,96.37
2228217,96.40
2238438,96.43
2239184,95.51
2245085,96.08
2246019,95.71
2246764,94.95
2247441,94.20
2248197,93.99
2248859,93.26
2254765,94.01
2255869,93.74
2262361,93.81
2269277,94.22
2275351,94.58
2281502,95.16
2282291,94.58
2288334,94.76
2289068,94.39
2294724,95.22
2300282,95.97
2310108,96.01
2321851,96.04
2327985,96.22
2328742,95.62
2338318,95.65
2348289,95.69
2358155,95.71
2368337,95.74
2375270,95.95
2385320,95.99
2391491,96.31
2392335,95.85
2400003,96.04
2410135,96.08
2420346,96.10
2427652,96.12
2433638,96.66
2434355,96.06
2441096,96.28
2447707,96.72
2448458,96.36
2449213,96.19
2455459,96.31
2456194,95.52
2456898,95.03
2467246,95.07
2474276,95.75
2480582,95.89
2481394,95.16
2487826,95.26
