Time(ns),Utilization(%)
6836,99.95
11789,99.97
16662,99.98
21041,99.98
25768,99.98
26562,83.66
31091,84.89
37179,88.40
41789,90.58
46465,92.07
47291,76.23
52185,77.98
56847,80.79
61399,81.95
66262,83.89
71011,85.45
71804,80.60
76473,82.32
81039,83.06
85750,83.42
90770,84.08
95378,85.25
99941,86.26
100701,82.83
105287,83.93
111425,84.90
116123,85.35
116936,82.41
121674,83.39
126245,84.26
126980,79.01
131522,80.06
136207,81.01
140944,81.45
141724,76.81
142456,72.17
147307,72.80
152078,73.41
156873,74.53
161596,75.57
166141,76.53
170775,77.41
171542,73.65
176026,74.60
180894,74.72
181717,71.10
189677,71.62
194529,71.87
199047,72.82
203572,73.72
208124,73.93
212572,74.75
213326,73.96
214026,70.81
218561,71.70
223102,72.13
223991,70.62
224761,70.43
229324,71.30
230265,68.37
230918,65.45
235226,65.94
239856,66.43
244378,66.67
248959,67.13
257694,67.36
262050,67.41
262770,66.72
268650,67.62
269366,64.93
270017,62.25
270784,60.90
275168,61.42
279866,62.42
284563,62.90
289300,63.82
294311,64.70
299383,65.53
304329,65.73
305142,65.15
305799,63.97
306454,63.38
310994,64.22
311852,63.07
312526,60.77
313220,58.48
317938,58.95
322870,59.41
327609,59.86
332169,60.73
337119,60.79
338039,60.65
342768,61.07
348912,61.49
349699,59.36
354203,60.21
358898,60.62
363511,61.02
368145,61.80
368889,60.80
373432,60.99
374175,59.01
378767,59.80
383287,60.57
387860,61.31
388633,59.44
393235,60.18
394044,59.26
394819,58.34
399637,58.53
404162,59.28
408723,59.46
409454,57.67
410084,57.22
414660,57.60
415493,55.83
416224,54.94
416859,53.16
417572,52.27
421962,53.11
422971,51.36
423633,49.62
429418,49.84
433956,50.69
438490,50.90
439269,49.20
443727,49.63
448319,49.74
449105,48.90
454642,49.74
459403,50.15
460185,48.51
464824,48.62
465535,48.21
470258,48.63
474874,49.45
475578,48.65
480024,49.46
484526,49.85
489228,50.05
493961,50.81
498904,51.55
504973,52.27
505686,50.79
510271,50.97
514988,51.33
519813,52.04
520583,50.59
525233,51.29
526153,49.87
526974,49.15
527793,47.72
528493,47.01
533185,47.76
533944,47.05
534659,46.88
539274,47.06
539979,46.89
540711,46.19
545391,46.37
550795,47.11
555251,47.12
560107,47.84
560922,46.48
561525,45.80
562173,45.46
566690,45.55
572409,45.92
573288,45.58
577798,45.95
582330,46.66
588162,47.01
592836,47.70
597644,48.37
602118,49.02
602891,47.76
603663,46.49
604493,46.18
609016,46.85
609822,45.60
614295,46.27
618800,46.60
623313,47.25
628121,47.56
632623,48.19
633348,47.00
634207,46.40
634888,45.22
635551,44.03
636295,43.43
640795,43.60
641566,42.42
645981,43.09
650488,43.42
655209,43.51
655929,42.92
660548,43.25
666469,43.58
671080,44.22
675803,44.85
676703,44.57
681279,45.18
685850,45.78
690534,46.37
695113,46.95
696042,45.87
701152,46.02
706045,46.31
706939,46.04
711621,46.33
716304,46.89
717039,45.84
721557,46.40
722292,45.36
726780,45.93
727658,44.90
732158,45.46
736807,46.01
742543,46.55
747156,47.07
751559,47.09
756328,47.61
757104,46.63
757762,45.65
762135,45.78
766844,46.05
767734,45.08
768410,44.11
769160,43.99
773562,44.52
777988,44.66
782365,45.18
783128,44.71
787770,44.97
792257,45.48
793045,44.55
797633,44.68
802538,45.19
807242,45.22
