Time(ns),Utilization(%)
7917,99.86
21522,99.91
28819,99.95
37433,99.94
45093,99.94
45991,78.34
48968,86.23
56006,89.51
63570,92.05
70645,93.53
71525,78.85
75215,84.34
78382,98.30
85687,98.43
94518,98.57
101717,98.72
102554,94.64
122283,95.12
125394,99.41
132101,99.42
139863,99.44
147138,99.49
154213,99.52
155098,95.02
163631,95.50
170840,95.77
174074,98.58
174837,95.77
181988,96.05
189153,96.32
189913,91.89
197212,92.45
204692,92.81
208671,95.09
211163,88.53
211890,83.36
215029,85.54
220274,88.31
224229,93.23
231426,93.60
239197,93.96
246711,94.33
247467,90.48
254660,90.99
257801,91.41
258816,86.01
262579,88.70
266012,89.85
298628,90.37
303496,94.97
306920,96.07
314486,96.22
315275,95.17
315943,90.86
319354,95.14
322505,96.65
323290,95.07
324015,94.90
331261,95.15
332240,90.34
332916,85.46
336822,86.80
340600,89.23
343670,89.92
347633,92.41
350667,93.15
353950,93.32
354690,92.31
363407,92.65
364256,88.31
364993,84.47
365752,82.97
369582,84.70
377005,85.35
380778,86.62
388262,87.14
392381,89.55
399992,89.95
403234,90.80
404039,90.04
404785,88.51
405452,87.65
412964,88.06
413786,86.27
414420,83.59
415080,79.49
418292,81.08
421501,82.54
426098,84.36
429371,86.75
432281,86.90
433146,86.75
437376,88.83
441361,90.53
442212,87.20
445700,90.33
449150,91.55
457190,91.70
464915,91.87
465723,90.38
468743,90.93
469489,87.93
472714,90.72
480036,91.04
488996,91.28
489752,87.89
493922,90.26
494606,89.15
495292,87.72
498426,88.64
506365,89.01
510106,89.91
510991,87.48
511679,87.00
515269,88.13
516073,85.03
516882,83.93
517574,81.84
518330,80.88
525832,81.52
526704,79.26
527370,76.80
530301,77.42
538024,78.12
541779,78.96
542633,77.21
546742,78.67
550958,79.09
551792,78.13
555234,81.01
558440,82.00
559218,80.17
562213,80.52
563000,80.05
566885,81.66
570152,83.98
570840,82.37
574161,84.61
577395,85.61
580484,86.21
588382,86.65
596385,86.97
604129,87.24
604939,84.99
609612,85.63
612922,86.57
620778,86.90
621521,84.86
629470,85.24
630485,82.81
631303,81.88
632117,79.04
632864,78.17
637193,80.85
638004,79.88
638783,79.57
641856,80.30
642665,79.93
643475,78.47
646709,79.09
654808,79.68
657787,79.69
665547,80.21
666315,77.76
666970,76.92
667641,76.23
670679,76.48
675228,77.59
676073,77.09
679342,78.10
682707,79.84
686540,80.83
690096,83.10
693676,85.10
697548,86.81
698218,84.47
699030,81.94
699913,81.55
707813,82.04
708653,80.34
712256,82.85
715729,84.16
723618,84.55
727222,85.88
731011,88.26
731827,86.57
732556,85.34
733232,83.13
733953,80.55
734697,79.45
738932,80.05
739699,77.66
743410,79.58
747108,80.32
750269,80.61
751005,79.87
754444,80.79
757819,81.79
762196,83.39
765906,85.45
766753,84.85
771122,86.46
775795,88.53
783564,88.75
791667,88.91
792432,86.71
795557,87.24
800076,88.02
800855,87.39
808179,88.44
816290,88.72
817053,86.89
824834,87.16
825639,85.16
829343,87.13
830147,85.38
834110,86.76
842187,87.00
850584,87.26
857012,87.49
860378,87.54
870083,87.77
870852,85.89
871579,83.83
874620,84.18
879148,85.29
880053,84.02
880874,82.25
881648,82.00
889698,82.40
892901,82.80
896634,84.74
897403,83.77
900647,84.66
904443,86.58
905182,84.63
909044,85.05
912672,86.34
916035,86.42
919403,87.02
922731,87.34
926657,88.37
936466,88.59
945365,88.83
953948,89.05
962557,89.25
963383,88.41
964131,86.99
964875,86.49
969023,88.18
972207,88.58
972935,86.99
976165,88.26
979314,88.32
983147,89.97
983982,88.97
984660,87.60
988055,89.05
988988,87.39
991962,87.43
997224,89.13
1005625,89.35
1006557,87.54
1010309,88.11
1014720,88.79
1018619,90.40
1022764,91.07
1031098,91.20
1035072,91.76
1035906,91.36
1036677,89.76
1040904,90.49
1049284,90.64
1057837,90.77
1058582,90.10
1068263,90.24
1071764,91.40
1072609,89.78
1081075,89.97
1089235,90.14
1093465,91.52
1101657,91.61
1104859,92.02
1108462,92.41
1112625,93.18
1113505,92.08
1114299,90.50
1117386,90.75
1126900,90.91
1127709,89.15
1128575,88.67
1132498,89.02
1137211,90.08
1141217,91.73
1149331,91.84
1150085,91.83
1153808,92.14
1157860,92.67
1158793,92.31
1159590,91.82
1163694,92.69
1172026,92.82
1175370,93.01
1183762,93.12
1193652,93.21
1194449,92.60
1202761,92.66
1211200,92.75
1211945,91.93
1220466,92.05
1221299,90.84
1224592,91.18
1233210,91.31
1241592,91.44
1244866,91.67
1253496,91.76
1264016,91.86
