Time(ns),Utilization(%)
9418,99.86
16545,99.91
23481,99.95
29830,99.94
36723,99.94
37532,78.34
42366,86.23
49236,89.51
56162,92.05
63252,93.53
64055,78.85
67173,84.34
71023,98.30
78415,98.43
86048,98.57
93065,98.72
93812,94.64
102093,95.12
105162,99.41
111992,99.42
119248,99.44
126315,99.49
133501,99.52
134386,95.02
141732,95.50
148979,95.77
154314,98.58
155034,95.77
162004,96.05
169063,96.32
169850,91.89
177052,92.45
184611,92.81
188322,95.09
189043,88.53
189717,83.36
195115,85.54
199194,88.31
202396,93.23
209668,93.60
218358,93.96
225640,94.33
226412,90.48
233693,90.99
237441,91.41
238474,86.01
241804,88.70
245447,89.85
252950,90.37
256311,94.97
259746,96.07
266985,96.22
267737,95.17
268365,90.86
272912,95.14
277178,96.65
277897,95.07
278623,94.90
286281,95.15
287328,90.34
288083,85.46
291788,86.80
295854,89.23
300022,89.92
303912,92.41
307446,93.15
311226,93.32
312059,92.31
319490,92.65
320285,88.31
321033,84.47
321819,82.97
325307,84.70
332768,85.35
337964,86.62
345729,87.14
349819,89.55
357324,89.95
360931,90.80
361761,90.04
362473,88.51
363107,87.65
370439,88.06
371272,86.27
371959,83.59
372662,79.49
376428,81.08
380187,82.54
384309,84.36
388058,86.75
392083,86.90
392814,86.75
396717,88.83
401197,90.53
402013,87.20
405641,90.33
409507,91.55
417225,91.70
424668,91.87
425419,90.38
429711,90.93
430499,87.93
433845,90.72
441165,91.04
448917,91.28
449653,87.89
453895,90.26
454609,89.15
455324,87.72
458904,88.64
467966,89.01
471740,89.91
472529,87.48
473220,87.00
477016,88.13
477763,85.03
478554,83.93
479222,81.84
479990,80.88
487532,81.52
488397,79.26
489199,76.80
492437,77.42
500208,78.12
504943,78.96
505717,77.21
509312,78.67
513189,79.09
513973,78.13
521538,78.74
524603,79.71
525373,77.92
530420,78.26
531218,77.81
534868,79.37
538540,81.62
539266,80.06
543186,82.24
547414,83.22
550399,83.79
558260,84.30
566190,84.67
573980,84.98
574731,82.78
578624,83.40
582970,84.32
591970,84.70
592792,82.71
600618,83.13
601652,80.76
602475,79.86
603253,77.09
603986,76.23
607649,78.85
608452,77.90
609126,77.60
612133,78.31
612922,77.95
613663,76.53
617463,77.13
625419,77.76
628422,77.78
636207,78.32
636892,75.94
637601,75.12
638359,74.44
642370,74.68
645414,75.77
646305,75.28
650553,76.26
654608,77.97
659065,78.93
662976,81.16
666881,83.10
670077,84.77
670812,82.48
671617,80.01
672506,79.64
680155,80.17
680998,78.51
685042,80.96
688358,82.23
692443,84.71
697236,86.04
705136,86.37
705922,84.71
706678,83.50
707365,81.35
708055,78.82
708772,77.74
712936,78.33
713737,75.99
718351,77.87
721731,78.60
727097,78.88
727860,78.15
732233,79.06
735319,80.03
739226,81.60
743096,83.62
744001,83.03
747597,84.61
752094,86.63
759806,86.88
763431,88.31
764169,86.12
768077,86.64
772690,87.42
773465,86.79
776814,87.84
784712,88.13
785525,86.31
795041,86.59
796001,84.60
800044,86.57
800823,84.83
805667,86.20
809725,88.01
817391,88.26
823015,88.47
827628,88.52
835651,88.74
836503,86.83
837205,84.75
841324,85.10
846024,86.23
846907,84.94
847624,83.15
848399,82.90
856262,83.28
861936,83.69
869744,84.00
870682,83.04
873882,83.92
881642,84.22
882402,82.32
887019,82.73
889951,83.99
894378,84.07
899338,84.65
902357,84.96
906557,85.96
914436,86.22
923730,86.50
931749,86.76
939905,87.00
940810,86.18
941543,84.80
942242,84.30
946209,85.96
950407,86.35
951192,84.79
955907,86.03
958846,86.09
967294,86.31
968162,85.35
968882,84.03
973125,85.42
974070,83.84
976987,83.87
985105,84.13
994918,84.44
995668,82.72
