Time(ns),Utilization(%)
9813,99.86
17423,99.89
24402,99.92
30918,99.90
37888,99.91
46245,99.90
52652,99.88
53421,84.71
57084,91.35
64134,92.55
71226,93.49
78396,94.11
85671,94.94
92636,95.43
93357,94.52
101610,95.07
108514,95.38
116289,95.56
119750,96.36
120568,92.30
124015,93.74
124780,92.30
127998,95.22
136229,95.83
143445,96.20
150579,96.46
159216,96.58
160042,88.60
167279,89.49
168041,83.28
168827,79.31
172891,84.37
176858,88.97
177608,87.12
178395,82.52
185676,83.98
193152,85.29
196506,90.46
197336,84.79
200702,85.19
204029,90.38
211324,90.98
216679,93.53
224328,93.73
229393,94.04
236728,94.40
237492,88.19
241345,93.34
244779,93.64
245575,93.34
252920,93.55
256427,93.64
263809,93.93
271342,94.09
272062,92.15
280942,92.43
281794,88.82
289335,89.36
292989,92.74
300370,93.11
301205,89.83
301995,87.30
309318,87.92
316763,88.33
324556,88.76
332055,89.22
337068,90.25
341159,91.40
348686,91.73
349455,89.92
357206,90.31
358000,86.45
358836,86.39
363032,87.09
370600,87.60
374463,88.17
375175,84.16
379234,86.13
383461,86.95
390997,87.34
391791,85.46
396093,86.61
404946,87.10
408622,88.21
412228,89.65
420222,89.88
428032,90.22
428853,89.08
436541,89.30
444457,89.56
445192,86.27
445999,85.78
446710,84.03
451110,85.71
455073,85.79
463916,86.17
471428,86.42
479127,86.75
479927,85.82
481325,87.39
485692,87.42
486428,85.10
487089,83.21
490803,85.47
495006,87.11
498860,88.24
506372,88.55
510102,88.85
514113,88.86
514891,86.36
519099,86.92
520057,84.86
525120,86.83
526054,84.47
532128,85.47
533163,82.90
537556,84.64
541378,84.98
548785,85.41
556358,85.70
557101,83.87
557828,82.10
565355,82.47
573331,82.81
577215,84.32
578007,84.29
578713,82.71
586497,83.12
587264,82.66
587970,81.68
588666,79.55
597843,80.08
605705,80.55
610435,81.18
611341,78.65
612043,77.64
612789,77.61
617348,79.13
625079,79.53
633252,80.00
637298,81.31
638108,80.71
638826,79.67
642837,81.18
646674,82.56
647401,82.08
651939,82.69
655065,81.15
655843,80.64
656667,80.51
661313,80.85
670270,81.17
674357,81.45
678794,82.48
679552,82.14
680453,79.89
681157,78.94
688840,79.44
693283,80.56
694077,79.37
701511,79.86
709634,80.19
710395,78.45
714655,79.73
715442,78.68
716228,78.16
717042,76.36
721453,77.39
725477,77.92
733525,78.39
734309,77.02
739665,78.70
747432,79.16
755096,79.55
759976,80.02
760818,79.81
764965,80.11
772932,80.43
773880,78.50
778429,79.70
786328,80.12
787082,78.30
787793,77.04
792351,78.62
793180,77.45
793978,75.53
798744,76.08
803316,76.25
808633,77.65
809453,76.18
813525,76.35
821352,76.78
822139,76.17
822841,74.53
827316,75.66
835571,76.11
840346,76.96
845002,77.33
852953,77.62
860954,77.99
865224,78.90
866002,77.45
870398,78.45
871146,78.23
871843,76.84
877235,78.24
881350,78.36
889464,78.69
893558,79.66
898191,79.84
906232,80.22
914512,80.40
922705,80.64
923629,80.22
924331,78.93
924979,77.41
925761,75.92
930718,76.40
936215,76.90
941554,78.09
942429,77.83
948354,78.69
953072,79.37
957758,79.67
958586,79.66
962781,81.15
971094,81.37
979388,81.66
987636,81.91
995877,82.17
1000302,82.39
1004749,82.54
1014220,82.76
1022354,82.98
1030367,83.15
1038825,83.29
1039624,83.15
1044804,83.65
1045579,81.97
1050307,83.12
1058470,83.26
1066759,83.46
1075268,83.64
1084718,83.86
1089492,83.87
1097508,83.99
1098399,83.16
1099118,81.61
1099847,81.53
1100586,80.51
1105880,81.82
1110520,81.93
1114910,82.11
1123204,82.33
1128467,82.69
1137100,82.86
1145551,83.04
1153103,83.17
1158388,83.37
1166571,83.48
1174908,83.71
1175775,82.28
1176517,81.93
1184573,82.20
1189540,83.06
1190426,82.98
1195094,83.39
1195920,82.06
1200414,83.37
1201225,82.40
1209512,82.61
1210401,82.49
1215495,83.03
1220155,83.60
1229919,83.76
1230760,82.84
1235961,83.39
1240831,83.82
1241675,83.22
1246388,83.61
1254891,83.75
1259875,84.07
1260735,82.90
1261519,82.07
1266088,82.94
1271360,83.18
1275754,83.70
1281097,83.97
1289479,84.13
1290300,83.00
1295249,83.68
1301631,84.21
1310338,84.30
1318797,84.43
1327118,84.59
1335660,84.68
1344928,84.80
1354376,84.98
1363285,85.11
1364086,84.09
1364832,82.84
1365507,81.85
1372329,82.96
1377656,82.98
1382986,83.87
1391774,84.04
1397065,84.68
1405633,84.86
1414223,84.99
1423117,85.08
1423920,84.71
1432685,84.89
1437905,85.36
1448161,85.48
1448965,84.43
1449640,83.57
1450342,82.41
1455376,83.30
1460197,83.56
1465036,84.42
1473602,84.58
1479216,85.00
1487921,85.10
1497035,85.28
1505951,85.45
1506856,84.75
1511748,85.52
1518128,85.85
1526713,85.98
1531992,86.10
1536782,86.53
1537582,86.31
1542889,86.50
1552161,86.64
1561430,86.77
1566678,86.93
1571488,87.13
1580275,87.28
1581090,86.44
1586957,86.80
1597297,86.92
1606573,87.01
1612397,87.18
1617468,87.59
1618337,86.77
1624119,87.04
1633090,87.17
1633855,86.74
1634578,85.93
1635345,85.53
1640578,85.60
1646318,86.03
1654382,86.15
1659959,86.26
1664957,86.65
1665734,85.59
1670756,85.66
1677724,86.27
1686858,86.42
1692006,86.89
1697132,87.03
1697935,86.19
1703796,86.42
1708932,87.01
1717932,87.09
1726907,87.21
1735903,87.30
1745143,87.38
1751860,87.59
1761710,87.73
1762679,87.08
1768985,87.28
1778449,87.34
1784124,87.69
1784994,87.61
1785767,87.35
1786541,86.64
1787239,85.74
1787938,85.03
1796791,85.18
1802781,85.82
1803581,85.71
1808886,85.92
1814693,86.34
1815536,86.18
1824915,86.32
1831345,86.59
1841758,86.69
1851320,86.80
1860737,86.91
1870491,87.01
1871371,86.87
1880567,86.98
1886168,87.17
1891673,87.25
1900638,87.36
1911395,87.43
1920874,87.53
1930584,87.63
1940025,87.71
1940877,87.03
1947260,87.24
1953608,87.44
1954399,87.07
1964007,87.13
1973906,87.25
1983633,87.37
1991306,87.57
2001067,87.67
2006815,87.85
2007633,87.18
2017122,87.30
2023095,87.35
2028449,87.95
2033801,88.13
2034720,87.67
2040442,87.96
2049959,88.01
2059470,88.07
2070824,88.13
2071704,87.27
2072588,87.08
2073264,86.19
2079224,87.05
2085318,87.27
2091370,87.61
2101068,87.67
2107019,88.10
2107911,87.57
2117434,87.64
2127116,87.71
2133628,87.89
2134400,87.01
2140039,87.76
2140863,87.53
2146296,87.87
2156982,87.98
2163584,88.01
2174129,88.08
2174987,87.89
2181336,88.09
2188703,88.19
2198524,88.24
2208607,88.31
2218545,88.37
2224686,88.49
2234384,88.53
2241882,88.74
2251591,88.78
2259202,88.83
2269300,88.87
2276312,89.13
2286267,89.16
2296289,89.24
2304386,89.33
2305193,88.59
2311488,88.88
2312254,88.66
2321823,88.72
2333521,88.81
2334344,88.69
2335058,88.60
2345129,88.68
2345930,88.07
2352140,88.54
2358646,88.82
2368271,88.87
2378466,88.95
2388374,89.00
2389229,88.68
2399102,88.75
2406055,88.75
2413665,88.78
2420239,89.03
2429979,89.07
2430803,88.63
2431489,88.23
2438229,88.47
2439029,88.19
2449137,88.27
2455382,88.58
2456150,88.14
2457006,87.46
2463352,87.95
2473461,88.04
2483922,88.11
2493885,88.19
2502259,88.41
2503079,87.72
2509676,88.03
2519352,88.09
2529826,88.16
2530622,88.01
2537361,88.07
2538236,87.92
2548422,87.99
2549289,87.54
2549989,86.81
2556869,87.23
2557706,87.16
2564705,87.28
2571541,87.53
2579153,87.73
2589803,87.79
2597967,88.05
2604273,88.14
2614433,88.19
2624625,88.26
2634514,88.32
2635259,87.89
2635992,87.38
2636700,87.00
2643677,87.38
2649854,87.77
2662956,87.84
2673555,87.89
2674499,87.51
2686554,87.60
2693289,88.02
2703268,88.07
2707382,88.44
2716971,88.52
2723680,88.73
2734298,88.78
2735057,88.43
2742491,88.55
2743347,88.10
2744046,87.72
2744852,87.32
2752156,87.44
2759401,87.64
2765544,88.20
2772427,88.58
2778557,88.95
2779314,88.39
2780043,88.25
2791883,88.33
2799096,88.80
2809354,88.85
2816423,89.02
2823068,89.32
2829733,89.41
2836248,89.48
2837095,89.18
2843732,89.26
2844513,88.86
2851075,89.34
2851858,89.15
2852595,88.81
2859142,89.04
2869322,89.09
2870133,88.48
2877496,88.74
2878234,88.39
2886485,88.53
2897003,88.60
2907806,88.68
2914427,89.03
2925134,89.08
2925914,88.81
2926627,88.38
2936994,88.45
2944273,88.47
2954857,88.55
2965575,88.60
2977518,88.64
2978299,88.50
2989226,88.56
2990133,88.13
2998545,88.32
2999307,87.85
3006605,87.88
3013952,87.91
3024641,87.98
3032361,88.24
3039237,88.37
3049608,88.42
3050382,88.04
3061338,88.09
3070605,88.13
3071463,87.77
3082128,87.84
3089921,88.17
3097117,88.52
3107930,88.57
3118783,88.61
3129856,88.69
3140961,88.76
3151866,88.80
3163900,88.84
3164725,88.54
3165445,88.49
3173306,88.77
3180598,88.87
3187962,89.09
3199382,89.13
3206895,89.30
3207705,89.04
3208455,88.77
3209161,88.24
3216495,88.75
3227618,88.81
3247935,89.02
3260844,89.09
3271931,89.15
3272771,88.51
3281154,88.64
3288771,88.84
3296134,89.06
3297072,88.59
3304905,88.86
3315960,88.90
3326934,88.94
3327754,88.35
3335247,88.77
3335966,88.60
3343034,88.83
3353638,88.89
3354458,88.62
3363265,88.74
3364018,88.51
3374457,88.57
3381611,88.82
3388736,89.04
3397258,89.28
3398097,88.66
3398821,88.09
3407393,88.27
3414941,88.79
3422709,88.80
3430257,88.84
3431015,88.49
3431790,88.08
3442690,88.14
3450833,88.32
3458697,88.38
3459450,87.85
3468124,87.92
3476056,88.19
3476924,87.94
3477621,87.42
3478368,87.25
3485936,87.49
3496983,87.55
3497875,87.03
3509115,87.10
3520204,87.17
3528688,87.32
3539658,87.37
3550974,87.44
3558241,87.68
3559038,87.26
3568213,87.35
3576072,87.76
3576813,87.35
3577547,87.19
3578326,86.80
3586783,86.91
3595017,86.96
3606698,87.02
3607522,86.48
3615770,86.58
3623744,86.80
3631197,86.85
3638550,87.15
3646728,87.33
3660133,87.39
3668500,87.40
3676753,87.49
3686254,87.56
3687017,87.20
3698629,87.28
3707013,87.46
3718862,87.51
3719683,87.13
3720397,86.90
3721066,86.63
3721825,86.16
3730149,86.46
3730898,86.21
3742475,86.29
3743249,85.88
3751701,86.06
3762853,86.14
3774307,86.20
3787072,86.27
3795479,86.45
3806950,86.51
3818998,86.58
3827316,86.76
3835011,86.92
3842423,87.08
3850315,87.14
3861664,87.20
3869929,87.39
3870655,86.81
3878327,87.39
3879132,87.18
3887609,87.29
3897015,87.30
3904607,87.47
3912367,87.52
3920719,87.52
3921635,86.98
3929842,87.27
3941296,87.33
3949636,87.49
3960953,87.55
3972767,87.60
3984685,87.64
3985522,87.33
3986364,87.18
3999407,87.24
4011136,87.30
4011964,86.90
4020644,87.16
4030086,87.23
4030887,86.67
4038827,87.05
4047045,87.06
4054723,87.27
4055562,86.70
4063469,87.06
4064379,86.61
4072987,86.76
4084714,86.83
4096315,86.88
4104468,87.12
4117689,87.18
4129706,87.25
4138473,87.31
4150475,87.37
4151358,86.88
4159379,87.34
4171117,87.40
4182736,87.45
4194395,87.48
4195170,87.23
4208149,87.29
4216569,87.32
4225996,87.44
4226721,87.24
4239564,87.29
4240473,87.17
4248913,87.25
4261091,87.31
4269642,87.51
4277916,87.61
4289739,87.65
4298346,87.80
4310249,87.83
4311108,87.77
4311772,87.36
4321996,87.55
4334370,87.60
4335192,87.24
4335829,86.71
4336525,86.62
4337281,86.35
4346175,86.79
4346964,86.51
4358982,86.58
4371263,86.63
4380641,86.77
4388869,87.05
4400990,87.11
4409899,87.19
4421615,87.22
4422503,87.21
4432831,87.29
4444979,87.35
4454276,87.35
4455061,86.83
4455823,86.33
4465000,86.46
4474070,86.61
4486276,86.67
4495512,86.85
4496288,86.59
4505059,86.61
4505970,86.34
4506715,86.01
4507416,85.82
4516331,85.97
4525167,86.10
4526039,85.82
4526902,85.41
4539222,85.48
4547467,85.88
4557306,86.11
4569419,86.18
4582073,86.25
4582985,86.09
4595313,86.16
4596173,85.70
4605577,85.88
4614384,85.92
4622798,86.18
4635405,86.23
4636303,86.14
4644948,86.41
4658497,86.59
4659508,86.50
4668871,86.51
4682776,86.57
4692017,86.67
4704847,86.71
4717329,86.78
4726418,86.85
4735825,86.92
4748630,86.95
4757534,87.13
4770544,87.19
4771398,86.88
4772118,86.78
4785951,86.84
4795481,87.14
4808376,87.20
4817813,87.34
4818558,87.12
4831331,87.17
4844450,87.21
4856924,87.26
4866759,87.34
4879265,87.39
4888813,87.42
4902995,87.47
4912475,87.56
4925124,87.61
4937779,87.66
4947451,87.75
4948256,87.74
4957509,87.79
4970222,87.81
4971018,87.42
4971748,87.38
4981055,87.68
4993797,87.70
5003195,87.86
5014152,87.97
5027303,87.99
5040214,88.03
5050645,88.07
5060700,88.17
5070854,88.18
5080399,88.27
5081300,87.91
5091207,88.03
5100667,88.26
5110264,88.32
5119593,88.35
5132346,88.40
5133131,88.13
5133883,87.95
5134528,87.82
5135224,87.41
5146574,87.60
5156075,87.79
5165183,87.96
5178080,88.00
5191089,88.05
5200934,88.08
5201778,87.86
5210791,88.11
5220415,88.18
5229779,88.18
5242242,88.24
5255573,88.27
5256364,88.20
5266901,88.42
5267772,88.08
5278200,88.21
5279138,88.20
5289110,88.30
5289925,87.92
5290636,87.90
5300385,88.06
5313456,88.11
5326918,88.16
5340093,88.20
5350278,88.24
5363584,88.29
5364392,87.91
5374914,88.02
5389630,88.06
5390474,87.68
5403685,87.73
5413822,87.80
5414592,87.63
5415327,87.47
5424604,87.76
5434581,87.85
5448218,87.89
5458960,87.90
5473204,87.94
5483546,88.05
5493564,88.08
5506726,88.12
5507627,87.81
5522300,87.86
5533050,87.99
5533847,87.92
5546929,87.97
5557072,88.09
5570596,88.13
5571525,87.77
5585086,87.82
5585955,87.75
5596302,87.84
5597113,87.42
5597844,87.22
5607615,87.33
5608528,87.06
5621728,87.11
5632429,87.24
5643644,87.28
5656829,87.32
5670661,87.37
5684336,87.42
5697463,87.45
5710786,87.49
5720915,87.52
5730356,87.64
5731175,87.30
5744699,87.35
5754475,87.60
5769396,87.65
5782924,87.69
5796708,87.75
5810364,87.79
5823696,87.84
5833690,87.91
5834508,87.84
5844179,88.04
5857531,88.07
5867329,88.25
5886580,88.28
5887478,87.87
5888271,87.63
5888987,87.26
5889707,86.92
5890391,86.49
5891113,86.29
5891779,85.94
5903124,85.95
5913364,86.00
5924167,86.17
5938231,86.22
5948594,86.24
5949375,86.10
5950081,86.01
5950878,86.01
5964665,86.06
5975000,86.29
5986117,86.36
5999918,86.42
6009974,86.74
6010867,86.69
6022348,86.75
6035768,86.80
6045725,87.06
6046597,86.67
6056538,86.72
6066725,86.96
6077004,87.05
6088032,87.18
6098066,87.24
6098874,87.15
6112801,87.20
6113750,87.08
6127259,87.12
6137448,87.30
6147062,87.49
6161771,87.53
6172073,87.67
6172861,87.51
6187075,87.56
6197878,87.70
6198739,87.59
6199503,87.23
6210349,87.37
6224247,87.41
6238800,87.45
6239602,87.08
6249505,87.38
6263251,87.43
6278913,87.46
6279713,87.24
6294175,87.29
6295037,87.25
6306610,87.30
6320724,87.34
6332447,87.43
6346188,87.47
6346993,87.22
6357973,87.40
6371595,87.44
6385302,87.48
6386093,87.17
6397299,87.31
6408552,87.52
6419355,87.59
6429876,87.68
6447126,87.73
6447959,87.70
6448673,87.34
6459860,87.60
6473823,87.63
6474624,87.51
6488819,87.54
6499486,87.70
6511327,87.70
6512308,87.30
6513080,87.22
6513856,86.86
6514537,86.71
6524971,87.02
6525814,86.93
6526575,86.73
6537852,86.80
6547868,87.07
6558462,87.22
6570371,87.31
6584419,87.34
6585233,87.10
6596461,87.25
6607769,87.26
6618804,87.36
6629418,87.49
6640513,87.56
6657296,87.60
6658234,87.53
6672921,87.55
6687965,87.60
6688737,87.36
6700246,87.49
6713165,87.66
6727545,87.71
6741974,87.74
6753048,87.78
6753899,87.50
6764843,87.66
6779272,87.69
6790013,87.83
6804698,87.87
6819415,87.92
6835501,87.96
6846715,88.11
6861234,88.15
6862013,88.12
6876446,88.15
6887733,88.25
6888492,87.90
6899404,88.07
6910403,88.25
6922334,88.35
6936884,88.39
6951580,88.42
6952494,88.20
6953204,88.06
6969506,88.09
6984200,88.12
6998891,88.15
7010123,88.33
7021428,88.42
7035971,88.44
7036859,88.10
7037581,87.83
7052143,87.87
7063529,88.16
7074895,88.36
7089881,88.39
7103342,88.47
7116379,88.50
7132188,88.53
7147215,88.55
7162032,88.57
7173495,88.66
7174270,88.33
7185794,88.59
7186678,88.40
7201240,88.44
7216348,88.47
7228168,88.70
7229124,88.63
7229851,88.27
7230568,88.07
7243200,88.38
7243968,88.27
7244748,88.14
7245488,88.10
7257401,88.13
7269177,88.29
7279934,88.51
7290724,88.71
7305249,88.73
7320779,88.76
7336229,88.80
7337061,88.61
7352264,88.65
7365441,88.70
7382121,88.71
7394599,88.79
7405958,88.83
7421405,88.87
7437287,88.89
7452938,88.93
7467943,88.97
7468708,88.91
7469432,88.64
7470132,88.53
7470820,88.23
7471476,88.12
7472186,87.92
7484305,87.97
7495700,88.03
7508045,88.06
7520262,88.23
7536356,88.33
7548504,88.39
7561276,88.40
7576849,88.42
7592453,88.45
7608085,88.48
7608897,88.30
7609615,87.97
7636475,88.01
7649663,88.28
7667940,88.32
7680423,88.48
7692870,88.49
7707515,88.56
7720243,88.64
7736977,88.66
7752942,88.68
7753686,88.41
7766733,88.48
7779503,88.57
7780293,88.23
7781007,87.95
7781832,87.75
7793960,87.75
7805737,87.81
7818523,88.01
7830686,88.28
7843823,88.31
7859773,88.34
7860533,88.18
7877718,88.21
7889521,88.39
7902418,88.51
7903315,88.33
7916270,88.44
7917143,88.17
7929997,88.25
7930686,88.15
7943549,88.35
7959913,88.37
7973128,88.47
7989228,88.50
7990060,88.47
8006081,88.49
8024043,88.52
8037634,88.54
8038799,88.36
8054868,88.40
8067238,88.43
8083092,88.45
8083888,88.35
8099664,88.38
8100478,88.29
8101232,88.18
8117084,88.20
8117963,88.00
8134434,88.03
8148452,88.13
8166222,88.15
8179956,88.21
8180839,88.03
8197255,88.06
8211831,88.06
8224346,88.08
8225211,88.03
8241820,88.06
8254674,88.09
8255533,87.74
8256246,87.60
8279249,87.89
8291566,87.90
8292325,87.83
8304390,87.98
8321912,88.01
8338755,88.04
8357101,88.08
8373609,88.11
8389491,88.15
8390316,87.91
8406137,87.95
8418827,88.14
8431935,88.20
8447912,88.23
8465559,88.25
8466491,88.08
8482966,88.11
8495780,88.23
8496623,88.11
8513042,88.14
8513862,87.81
8527666,87.82
8543970,87.86
8544777,87.75
8558171,87.87
8558995,87.77
8570995,87.94
8582949,88.12
8596053,88.21
8609074,88.30
8609874,88.23
8627951,88.26
8645180,88.29
8661404,88.39
8675384,88.39
8676241,88.09
8689315,88.27
8703162,88.31
8720608,88.33
8734823,88.34
8751257,88.38
8768138,88.41
8768976,88.14
8783871,88.24
8796644,88.40
8812753,88.42
8813611,88.32
8826820,88.43
8843493,88.45
8860208,88.47
8873822,88.52
8890268,88.53
8904040,88.62
8917187,88.67
8935471,88.71
8948988,88.75
8949988,88.57
8962951,88.70
8976541,88.71
8992889,88.74
8993758,88.65
9007534,88.70
9024741,88.73
9043709,88.76
9060814,88.78
9074650,88.87
9093310,88.91
9110674,88.93
9124596,88.93
9141979,88.96
9142793,88.93
9156139,89.04
9169453,89.05
9183691,89.11
9200892,89.13
9201727,88.84
9219016,88.87
9233200,89.13
9251550,89.16
9268679,89.19
9285712,89.21
9302814,89.24
9320227,89.26
9334891,89.29
9351844,89.31
9369086,89.33
9383847,89.39
9403225,89.40
9418879,89.48
9433528,89.50
9452990,89.53
9471002,89.55
9489142,89.56
9506637,89.58
9507599,89.49
9525459,89.52
9544373,89.55
9558710,89.58
9576138,89.61
9576939,89.46
9594700,89.48
9609269,89.57
9610086,89.28
9610870,88.97
9624869,88.98
9638622,89.21
9656176,89.26
