Time(ns),Utilization(%)
9078,99.48
16398,99.76
22906,99.80
30305,99.82
38738,99.90
39583,86.68
46555,90.84
53704,92.43
54440,82.84
61395,85.97
64461,86.82
71566,89.82
78482,90.88
85334,92.79
93727,93.39
100860,94.28
108422,94.75
109191,86.37
112997,89.80
116153,91.22
116950,78.74
117619,63.49
118448,57.85
122191,64.50
125564,64.59
128702,69.67
132558,79.84
135855,80.00
136746,79.84
140415,84.00
143524,84.51
144297,72.82
147721,64.48
151392,73.84
155096,79.05
155914,72.46
162836,75.95
169890,78.73
176875,80.92
177706,80.56
184797,82.00
185603,77.35
186276,68.02
186956,58.47
190706,64.61
194220,67.55
197446,67.66
198142,66.78
198848,64.59
202202,68.43
207231,69.27
207996,66.32
211939,73.53
219229,75.24
226476,77.23
229743,81.21
230623,75.83
234467,78.70
237779,80.26
245377,81.34
246213,81.16
249697,83.73
250488,82.99
257748,83.89
258473,80.92
261792,83.37
266360,84.56
269982,84.58
277423,85.43
284654,86.27
288046,88.21
295174,88.71
295983,83.99
299565,88.51
300398,87.32
308171,88.05
312416,90.97
319979,91.39
328971,91.67
336423,91.83
343865,92.00
345215,92.99
352238,93.14
359562,93.29
366745,93.51
374238,93.71
382978,93.88
386699,93.92
394049,94.19
394816,89.99
399075,93.29
407069,93.45
415273,93.71
419110,94.74
426471,94.83
434123,94.94
435012,92.78
443908,92.93
451670,93.13
452564,90.00
453337,86.42
454024,84.75
461491,85.29
465562,87.30
469915,88.35
473593,91.76
477580,93.36
485033,93.54
492593,93.71
500273,93.85
505587,93.94
506334,91.47
510407,91.61
518542,91.83
522246,92.53
526072,93.42
526773,91.61
527437,91.53
528235,88.22
532624,89.22
536307,89.65
540063,89.83
544233,91.78
547953,92.31
552221,94.26
553063,91.98
556616,93.89
557390,93.52
564738,93.63
573823,93.82
581534,93.99
589275,94.09
593089,94.54
601005,94.61
601875,92.30
609681,92.51
614228,92.51
625836,92.68
626593,92.68
630548,93.06
631344,92.05
636573,93.74
637290,91.96
644984,92.12
649151,92.33
649865,90.27
653711,91.20
657567,91.54
661645,91.93
666104,92.69
670119,93.22
674104,94.78
674940,92.86
679548,94.49
684173,95.83
692368,95.88
696649,95.92
705979,95.99
714272,96.09
722525,96.16
723351,95.14
727482,95.98
731462,96.52
732219,96.33
740105,96.40
748241,96.47
758258,96.52
767200,96.53
775107,96.59
783049,96.65
783832,95.10
788860,95.77
796901,95.86
805020,95.93
805816,95.17
814217,95.27
818878,96.01
827412,96.05
828252,95.63
833728,96.19
841789,96.27
846035,96.65
850485,96.74
858441,96.79
866562,96.80
874826,96.86
883027,96.90
883800,95.35
887976,96.88
897134,96.94
905197,96.99
913273,97.03
921732,97.05
930067,97.07
938441,97.10
946970,97.13
947775,96.30
952189,96.83
956717,96.89
957458,95.78
963188,96.99
971321,97.04
979487,97.06
987654,97.09
988414,95.64
993340,96.33
1001518,96.36
1006538,96.67
1011089,96.78
1019298,96.81
1032292,96.84
1033088,96.14
1041573,96.20
1042371,95.08
1050657,95.14
1059056,95.22
1064287,95.92
1072428,95.99
1073256,95.77
1078284,96.25
1079084,96.05
1087456,96.10
1092170,96.45
1102200,96.48
1103014,96.41
1111699,96.44
1114487,96.56
1115261,95.77
1116043,94.45
1116757,92.90
1121322,94.41
1126278,94.99
1131673,95.42
1136337,96.27
1144715,96.31
1153424,96.37
1162163,96.40
1171670,96.45
1181829,96.47
1188650,96.49
1189470,96.20
1198142,96.23
1199042,95.36
1199731,94.41
1204976,95.04
1213834,95.11
1222557,95.18
1223604,93.76
1224480,92.64
1229877,93.38
1239493,93.47
1244832,94.39
1250212,95.34
1256424,95.51
1257208,95.11
1261924,95.36
1266758,95.91
1271638,96.11
1272459,95.26
1275235,95.29
1283737,95.33
1288907,95.46
1297740,95.52
1302550,95.94
1311144,95.99
1319775,96.03
1330301,96.07
1339368,96.10
1348517,96.15
1357484,96.18
1363175,96.70
1372234,96.72
1377834,96.77
1382912,96.88
1391868,96.90
1402235,96.91
1403061,96.49
1403817,95.71
1412830,95.76
1418121,96.45
1418894,95.24
1419572,94.10
1425281,94.85
1430909,95.46
1440268,95.51
1441151,95.15
1446367,95.26
1451237,95.60
1460304,95.64
1465710,95.85
1470718,96.16
1471543,95.39
1472255,94.74
1473002,93.88
1478051,94.16
1488421,94.23
1489260,93.68
1494403,94.15
1499607,94.25
1500407,93.53
1505531,93.91
1510810,94.10
1511625,92.87
1517277,93.08
1522432,93.26
1531961,93.34
1532737,92.42
1538999,93.01
1542030,93.94
1547546,93.95
1552634,94.78
1553389,94.51
1559057,94.98
1564278,95.08
1570834,95.84
1576270,95.88
1581793,96.53
1582529,95.87
1583262,95.84
1583984,95.06
1593282,95.12
1602992,95.16
1612331,95.22
1619816,95.52
1620621,95.07
1623950,95.62
1624743,95.32
1629842,95.42
1630598,94.99
1631454,94.54
1632289,93.37
1633131,92.68
1633864,91.95
1639602,92.70
1640298,92.04
1646795,92.94
1647622,92.44
1653718,92.97
1654466,92.65
1655136,91.82
1655820,91.03
1656595,91.00
1667308,91.09
1668068,90.02
1673321,91.01
1678503,91.29
1687354,91.39
1688191,90.53
1693661,90.99
1703804,91.66
1713677,91.75
1719232,92.44
1720018,91.50
1725466,91.58
1730769,92.50
1736178,93.12
1742068,93.87
1752984,93.93
1753760,93.25
1754432,92.92
1759940,93.16
1766054,93.91
1766856,92.96
1772173,93.67
1778007,94.15
1778886,94.11
1785788,94.46
1791080,94.88
1797002,95.41
1806358,95.45
1807195,94.31
1807954,93.22
1814081,94.01
1814929,93.56
1820825,94.50
1829999,94.54
1833624,94.59
1844396,94.63
1845188,93.82
1851345,93.91
1856840,94.69
1857606,94.11
1863039,94.40
1863791,93.56
1869016,93.88
1869783,93.21
1870513,93.12
1880171,93.19
1886589,93.36
1887446,93.27
1892989,93.39
1902614,93.45
1908499,93.78
1914552,94.27
1915276,93.86
1916001,93.20
1916745,92.24
1917460,91.93
1928155,92.01
1937966,92.09
1944028,93.02
1949717,93.43
1950551,92.76
1956299,93.16
1961795,93.73
1967748,93.75
1973134,94.19
1973880,93.61
1983323,93.67
1993199,93.72
1998882,93.97
1999647,93.91
2005053,94.34
2012592,95.06
2018053,95.57
2027538,95.60
2037180,95.64
2043150,95.79
2049957,96.19
2056961,96.60
2066744,96.63
2067532,96.28
2077587,96.30
2083792,96.35
2094841,96.38
2095849,95.97
2096671,95.56
2097372,95.50
2098112,94.86
2098786,94.39
2099506,93.44
2105382,93.83
2111887,94.44
2112676,93.63
2118443,93.98
2123992,94.32
2133789,94.38
2139698,95.15
2149780,95.20
2159612,95.25
2165591,95.48
2166360,94.63
2171865,95.49
2178189,95.49
2178917,94.59
2189844,94.64
2196544,95.18
2203714,95.29
2204504,94.41
2205249,93.83
2211475,94.72
2217311,95.53
2226899,95.56
2227833,95.40
2228632,94.47
2238185,94.52
2239000,94.06
2245878,94.31
2252631,95.11
2262610,95.14
2270033,95.33
2270851,94.79
2280696,94.83
2286629,95.34
2287428,95.21
2288206,94.55
2288913,94.40
2298788,94.45
