Time(ns),Utilization(%)
6703,63.41
11501,72.41
16068,72.22
20797,74.88
27134,68.58
27973,54.30
32915,54.53
39121,57.51
39903,49.82
44637,55.84
49342,55.96
54297,60.29
59316,62.04
64082,68.07
68610,69.43
73302,71.02
77900,69.16
78709,57.78
83285,58.66
88049,58.88
88734,47.96
89354,37.04
90073,31.58
94617,34.46
98970,34.49
103560,36.07
108302,38.81
114097,38.85
114895,38.71
119656,39.39
124442,39.47
125179,30.95
125846,22.44
131880,25.49
136668,27.11
137444,23.33
141899,28.39
146383,32.97
152778,36.95
153679,36.56
158632,38.82
159432,35.92
160197,30.12
160973,24.32
165613,26.42
170287,27.33
174616,27.36
175340,26.69
176048,25.36
180657,26.74
184858,27.01
185665,24.43
190395,26.85
196383,28.91
201104,31.87
205761,33.24
206546,28.87
211331,29.72
216005,30.18
220681,31.75
221499,31.63
226416,32.28
227203,31.78
231717,33.26
232446,31.35
237093,31.98
241924,32.27
246242,32.27
250991,33.89
255735,35.72
260598,36.10
265453,37.09
266254,33.80
272089,34.96
272807,34.17
277348,36.02
281955,36.94
286549,38.25
291201,38.84
295785,39.29
300399,39.82
304984,40.06
309573,40.58
314032,41.22
318633,41.94
323233,42.47
327767,42.85
331965,42.85
336616,44.23
337306,41.80
343202,42.56
347770,42.82
352316,43.97
356907,44.28
361967,44.71
366833,44.93
367559,42.76
372124,43.02
376778,43.62
377513,41.54
378259,39.45
378892,38.41
383536,39.58
388070,39.88
392654,40.05
397205,41.07
402010,41.51
407705,42.12
412352,42.77
418161,43.18
422956,43.21
423685,41.39
428555,41.41
434322,42.12
439088,42.31
443878,42.41
444617,40.64
445278,40.59
445993,38.83
450540,39.01
455328,39.07
459787,39.12
464784,39.45
469619,39.56
474444,39.87
475276,38.20
479784,38.51
480540,38.31
485255,38.56
489802,39.42
495787,40.24
500566,40.48
505170,40.55
509751,40.91
510622,39.39
515191,40.17
519770,40.17
524428,40.76
525191,40.76
529778,40.80
530595,40.06
535075,40.34
535813,38.89
540395,39.41
545143,39.45
545871,38.02
551582,38.22
556404,38.33
561482,38.39
566362,38.51
572689,38.64
577406,38.87
578165,37.50
582880,37.78
587629,38.17
592363,38.51
597037,38.52
601910,38.80
606597,39.59
611304,39.94
612148,39.29
616752,39.46
621410,39.59
622185,39.43
626735,39.97
631382,40.36
636102,40.64
640736,40.74
646828,41.00
651457,41.41
652217,40.22
656720,40.32
661382,40.88
665970,41.36
666775,40.77
671397,41.41
676489,41.55
681238,41.75
682064,41.47
686577,41.52
691133,42.06
695749,42.13
700053,42.15
706611,42.41
711226,42.56
715944,42.97
721803,43.19
722579,42.12
727069,42.46
731735,42.91
736304,43.44
741098,43.62
745759,43.86
750409,44.00
755467,44.18
760058,44.31
760860,43.81
765437,43.87
770137,43.89
771034,42.89
780072,43.10
784954,43.45
789503,43.64
794130,43.73
794910,42.77
800798,42.93
805427,43.11
809983,43.18
814557,43.21
819176,43.35
823815,43.46
824620,42.99
829217,43.30
829943,42.37
834599,42.66
839228,43.12
843761,43.29
848290,43.76
849075,43.54
853595,43.60
854361,43.49
858758,43.87
863336,43.96
867871,44.02
868617,43.97
874836,44.18
879563,44.19
880423,43.76
881205,42.89
882208,42.02
886756,42.46
891332,42.58
895959,42.62
900473,42.71
905019,42.99
909691,43.46
914359,43.53
919067,43.92
923708,43.97
928638,44.14
929437,43.93
933946,44.09
934708,43.28
935359,42.47
939946,42.64
944641,43.02
950563,43.43
951324,42.64
952029,41.85
956569,42.08
961199,42.51
966085,42.67
970602,42.85
975638,42.90
976491,42.51
982092,42.56
986772,42.69
991524,42.71
992321,41.95
996682,41.96
1001318,42.17
1006171,42.20
1011007,42.61
1015684,42.67
1020353,43.04
1028334,43.24
1033030,43.42
1037641,43.53
1042339,43.87
1047130,44.04
1051754,44.16
1056236,44.23
1060844,44.24
1065106,44.26
1070433,44.31
1075496,44.35
1076335,44.00
1077153,43.30
1081693,43.67
1086375,43.73
1087110,43.04
1087825,42.35
1092429,42.46
1096929,42.63
1102801,42.86
1103679,42.53
1108572,42.55
1115333,42.58
1120260,42.81
1125016,42.85
1129661,42.94
1130484,42.27
1131228,41.60
1131949,40.93
1136620,41.01
1141453,41.35
1142293,41.02
1146789,41.13
1154587,41.16
1155350,40.50
1160033,40.56
1164653,40.60
1165447,39.94
1169919,39.98
1174647,40.01
1179483,40.40
1180336,39.75
1186202,39.93
1190885,40.16
1195241,40.16
1199909,40.33
1200692,40.17
1205171,40.29
1209935,40.30
1215693,40.43
1220606,40.44
1225331,40.51
1226083,39.89
1226789,39.87
1227446,39.24
1232081,39.60
1236698,39.77
1241161,40.12
1245925,40.15
1246725,39.84
1251315,40.00
1252113,39.70
1257050,39.72
1257799,39.41
1258522,39.10
1259233,38.49
1259975,37.88
1260581,37.26
1266738,37.42
1267485,36.81
1271932,37.04
1272723,36.74
1277265,36.90
1278369,36.59
1279101,35.99
1279901,35.39
1280627,35.37
1285792,35.64
1286496,35.04
1291374,35.33
1295994,35.42
1300454,35.80
1301260,35.20
1306010,35.33
1310694,35.45
1315467,35.80
1320075,35.94
1320899,35.36
1325664,35.37
1331538,35.62
1336391,35.73
1341156,35.89
1347154,36.18
1347911,35.62
1348597,35.34
1353476,35.40
1358141,35.57
1358894,35.01
1363595,35.16
1368400,35.29
1369266,35.26
1373670,35.33
1378842,35.43
1383702,35.59
1388580,35.83
1389355,35.28
1390121,34.73
1394747,34.91
1395516,34.64
1400074,34.90
1404798,35.03
1409352,35.04
1414197,35.21
1414946,34.67
1419554,34.69
1429886,34.87
1430615,34.34
1435690,34.39
1436453,33.85
1440951,33.91
1441850,33.38
1442539,33.31
1447016,33.61
1451766,33.64
1452562,33.58
1458126,33.61
1462734,33.87
1467370,33.94
1471978,34.09
1472718,33.83
1473513,33.30
1474498,32.78
1475178,32.52
1479815,32.84
1484936,33.13
1489592,33.41
1494275,33.51
1495124,33.00
1499673,33.10
1504315,33.21
1510498,33.21
1515360,33.33
1516176,32.82
1520696,33.09
1525263,33.30
1529969,33.38
1530691,33.35
1535322,33.47
1539935,33.64
1544589,33.79
1549304,33.98
1554103,34.27
1558809,34.30
1563525,34.40
1568329,34.51
1572987,34.73
1573936,34.49
1578456,34.68
1587350,34.69
1592136,35.00
1593224,34.75
1593999,34.51
1594722,34.48
1595498,34.00
1596167,33.76
1596961,33.28
1601748,33.38
1606363,33.51
1607156,33.03
1611765,33.12
1616474,33.20
1621376,33.51
1625993,33.72
1630682,34.02
1635438,34.32
1640028,34.39
1640791,33.93
1645400,34.17
1650371,34.17
1651083,33.71
1657478,33.99
1662496,34.09
1668193,34.12
1668962,33.66
1669628,33.20
1674416,33.46
1679095,33.69
1684121,33.91
1685103,33.79
1686063,33.34
1691195,33.63
1692161,33.40
1697227,33.45
1705836,33.67
1710575,33.90
1715530,33.94
1716301,33.50
1720928,33.79
1725530,33.87
1726564,33.76
1727350,33.32
1728158,33.21
1732672,33.49
