Time(ns),Utilization(%)
8049,99.48
15573,99.76
22454,99.80
29711,99.82
38428,99.90
39289,86.68
46633,90.84
53894,92.43
54577,82.84
61678,85.97
64652,86.82
71951,89.82
79180,90.88
86355,92.79
95645,93.39
103079,94.28
110703,94.75
111497,86.37
115233,89.80
118335,91.22
119058,78.74
119771,63.49
120626,57.85
124439,64.50
127494,64.59
130484,69.67
134315,79.84
137383,80.00
138237,79.84
141394,84.00
144337,84.51
145093,72.82
145826,64.48
154352,73.84
158368,79.05
159169,72.46
166724,75.95
174189,78.73
181756,80.92
182607,80.56
190172,82.00
191093,77.35
191967,68.02
192701,58.47
196602,64.61
199835,67.55
200596,67.66
201302,66.78
202129,64.59
205311,68.43
208556,69.27
209340,66.32
213190,73.53
222068,75.24
229506,77.23
232794,81.21
233642,75.83
237340,78.70
240547,80.26
248297,81.34
249140,81.16
252965,83.73
253968,82.99
261619,83.89
262361,80.92
265779,83.37
268825,84.56
271785,84.58
281088,85.43
288841,86.27
293162,88.21
300733,88.71
301580,83.99
304776,88.51
305601,87.32
313156,88.05
320621,88.38
328291,88.91
337282,89.27
344971,89.47
352352,89.68
355515,90.65
363005,90.83
370412,91.03
378056,91.33
385813,91.59
395048,91.81
398427,91.84
406617,92.20
407405,88.08
410844,91.32
418525,91.52
426270,91.85
429497,92.86
436921,92.98
444581,93.13
445468,91.01
454331,91.20
462082,91.44
462874,88.37
463545,84.85
464218,83.21
472016,83.79
475916,85.76
479157,86.80
482797,90.15
486354,91.73
494104,91.94
502792,92.15
510709,92.33
515192,92.41
516007,89.99
518880,90.12
526648,90.38
531524,91.07
535034,91.94
535795,90.16
536483,90.08
537228,86.82
541299,87.81
544541,88.23
547526,88.41
552076,90.33
555277,90.85
558873,92.77
559640,90.52
563980,92.40
564736,92.04
573988,92.18
581946,92.40
590054,92.61
598392,92.73
601868,93.18
610205,93.26
611061,90.99
619093,91.22
622052,91.23
630233,91.43
631087,91.42
635832,91.79
636567,90.81
640694,92.47
641460,90.71
649490,90.90
652601,91.11
653438,89.07
657284,89.99
660488,90.32
663985,90.71
667537,91.46
671111,91.99
675823,93.52
676607,91.62
679906,93.24
688179,93.32
697638,93.40
700861,93.45
709099,93.55
717297,93.72
725494,93.82
726360,92.83
730253,93.65
733884,94.17
734625,93.98
742754,94.10
750996,94.21
760457,94.29
764356,94.74
772712,94.82
781343,94.91
782099,93.39
786506,94.05
794855,94.17
803549,94.27
804387,93.53
813477,93.66
816835,94.39
826642,94.43
827461,94.03
831224,94.58
839875,94.68
843477,95.05
846753,95.15
855168,95.21
859868,95.72
868212,95.79
876703,95.84
877514,94.31
881736,95.83
891532,95.90
899912,95.97
908733,96.02
918316,96.05
926931,96.07
935717,96.12
944553,96.16
