Time(ns),Utilization(%)
9833,99.88
16592,99.93
23290,99.94
24090,52.42
26950,55.36
33826,70.75
34775,36.26
35488,21.72
38962,54.21
43577,70.90
46862,73.22
49682,86.56
56067,89.90
58927,97.52
65588,97.87
72236,98.21
78860,98.36
85501,98.50
86259,97.45
86932,82.85
87501,76.86
90249,82.32
94535,97.71
95253,89.88
95924,75.00
99408,87.46
106170,89.16
107013,82.69
113768,84.36
120611,85.93
121391,79.69
122047,79.08
125334,82.59
132164,84.14
139643,85.21
146696,86.14
150890,89.51
157678,90.02
164414,90.66
171585,91.20
172323,88.86
174981,91.29
177753,91.74
184504,92.23
188071,94.12
194751,94.26
195496,88.95
198989,92.80
207164,93.17
213967,93.46
220867,93.72
223995,94.99
231053,95.11
231890,93.10
239280,93.43
246304,93.69
247029,89.91
250182,93.62
258380,93.85
265597,94.09
266329,90.34
266963,88.66
270753,90.73
271654,88.87
280604,89.29
281359,86.18
282006,82.10
282812,77.98
286257,81.06
289292,83.53
292120,84.71
295254,86.29
298495,90.15
301662,91.12
304832,94.05
311722,94.20
312563,90.28
317424,92.53
320488,93.87
321204,91.20
328279,91.55
329064,89.39
334071,89.82
341546,90.17
342295,86.81
345591,89.67
346281,87.53
346956,84.20
347582,82.83
351103,85.61
353998,87.29
354686,84.74
358503,85.96
361629,88.66
368840,88.98
377427,89.40
380365,89.97
383327,90.78
386566,91.56
393612,91.81
394443,90.80
395095,87.44
398530,88.86
405530,89.17
412862,89.55
415711,90.09
416563,87.57
423599,87.93
432146,88.30
439673,88.59
440629,87.94
443877,89.96
451108,90.23
454032,90.63
454796,88.16
455508,85.08
456206,82.66
456823,79.96
457475,77.42
460913,79.15
464027,79.43
467359,82.15
468134,81.76
475485,82.28
479036,83.48
479830,81.12
483595,82.66
486551,82.91
490785,83.42
494477,85.57
502033,85.97
507154,86.30
507959,84.35
511196,86.06
514113,86.08
518135,87.55
521645,88.48
529268,88.78
532497,89.01
533671,88.57
537634,89.38
538388,87.82
542839,89.45
551574,89.62
554519,89.92
555209,87.99
558737,89.54
559426,87.29
563022,87.66
563733,87.09
566632,87.48
570682,88.43
574106,89.21
574926,88.26
575644,88.04
578911,89.53
586170,89.66
586970,88.78
589710,89.65
590428,88.07
593933,89.22
594634,88.54
601863,88.75
610774,88.97
618200,89.22
621068,89.30
624022,89.79
627460,90.55
628192,89.46
635486,89.58
643271,89.76
644114,89.43
649844,89.56
650564,87.42
651225,86.28
655509,87.44
658898,88.29
659681,87.76
667339,87.97
671711,88.71
679574,88.88
680298,88.20
683307,88.65
690815,88.80
698515,88.93
701704,89.63
704946,89.95
708510,90.88
709314,90.74
712395,91.28
716066,92.08
719405,92.71
720131,92.52
729182,92.63
737057,92.77
