Time(ns),Utilization(%)
9219,99.88
16594,99.93
23817,99.94
24594,52.42
27570,55.36
34705,70.75
35538,36.26
36172,21.72
39622,54.21
44289,70.90
47236,73.22
54044,76.37
60707,81.71
64321,88.64
71069,90.11
78106,91.63
84960,92.30
91768,92.93
92416,91.94
93077,78.16
93651,72.51
98374,77.67
105332,80.50
106208,74.04
106967,61.79
110474,72.05
118212,75.26
119172,69.80
126427,72.29
133329,74.72
134073,69.29
134718,68.77
138343,71.82
145333,74.01
152194,75.57
160692,76.95
164486,79.96
171343,80.84
178097,81.95
185332,82.90
186059,80.77
189273,82.98
192380,83.39
199283,84.29
203138,86.02
206337,88.24
207021,83.27
212277,86.87
219653,87.51
226848,88.01
233947,88.46
237230,89.66
244288,89.90
245058,88.00
251985,88.54
258913,88.98
259667,85.39
262798,88.92
271120,89.29
278530,89.70
279271,86.12
279956,84.51
283948,86.49
284811,84.72
291951,85.26
292701,82.29
293357,78.40
294137,74.46
298066,77.41
302015,79.77
305791,80.89
309201,82.40
316600,83.03
320721,83.92
329179,84.34
336461,84.69
337299,81.17
341355,83.19
344738,84.39
345436,81.99
352628,82.64
353403,80.70
358446,81.41
362553,84.56
363234,81.41
366588,84.10
367358,82.09
368108,78.97
368796,77.68
372426,80.29
376274,81.86
377056,79.47
381099,80.62
388213,81.10
396651,81.59
403814,82.23
407910,82.76
411672,83.51
415596,84.22
422820,84.65
423533,83.73
424186,80.62
428250,81.93
435570,82.40
443081,82.96
447260,83.46
448050,81.13
456849,81.64
464368,82.17
471750,82.58
472669,81.98
476324,83.86
483951,84.27
487587,84.63
488320,82.33
489041,79.46
489710,77.20
490346,74.67
491073,72.30
495172,73.92
499397,74.18
507428,74.82
508242,74.46
517733,75.13
522339,76.23
523083,74.07
527266,75.47
530968,75.70
534614,76.16
538867,78.13
546168,78.69
551495,79.15
552244,77.36
555855,78.92
559485,78.95
563458,80.30
567742,81.14
575326,81.59
580471,81.80
581458,81.40
585140,82.14
585880,80.71
589504,82.21
596875,82.47
600590,82.75
601338,80.97
605085,82.40
605841,80.33
610213,80.67
611156,80.15
615321,80.50
619151,81.37
622960,82.10
623763,81.23
624557,81.02
628357,82.39
636016,82.60
636896,81.78
640555,82.58
641246,81.13
646252,82.19
646982,81.56
654401,81.88
661974,82.21
669500,82.57
677233,82.65
681198,83.10
685596,83.80
686326,82.80
693765,82.98
701303,83.25
702135,82.94
707550,83.15
708308,81.15
708966,80.10
715028,81.17
719228,81.96
719967,81.47
727420,81.76
731345,82.45
739067,82.70
739908,82.07
743974,82.48
751387,82.70
758878,82.89
763433,83.54
768316,83.84
772263,84.70
772951,84.57
778335,85.08
782383,85.83
786964,86.41
787688,86.23
795461,86.43
803209,86.68
807729,87.24
815705,87.42
824010,87.57
828181,88.07
836096,88.28
845511,88.48
853384,88.63
861221,88.71
861981,86.94
865861,88.52
869818,89.05
877808,89.15
885657,89.31
886347,88.09
894290,88.30
903531,88.50
911890,88.65
920410,88.84
925557,89.16
930094,89.24
930861,87.96
934899,88.34
939469,88.38
947406,88.51
955436,88.64
960230,89.03
961000,88.37
970259,88.54
971017,88.04
971956,86.87
980028,87.03
980784,86.15
988722,86.34
996578,86.50
997333,85.84
1009201,86.02
1014921,86.53
1019837,86.69
1025013,87.36
1033194,87.54
1033934,86.17
1038902,86.90
1048702,87.08
1049547,86.79
1054012,88.14
1058668,88.73
1059576,88.31
1064539,88.79
1069049,89.23
1069819,88.43
1070465,88.00
1079124,88.15
1079924,87.31
1084661,87.34
1092989,87.52
1101661,87.64
1110074,87.74
1120326,87.88
1125815,87.96
1130497,88.54
1135150,89.11
1143881,89.25
1144675,88.24
1149672,88.46
1150422,88.19
1151093,86.74
1151832,86.66
1156886,87.45
1157677,86.27
1162143,87.43
1162903,86.35
1167333,87.38
1175776,87.49
1181044,88.20
1185623,88.52
1195364,88.67
1200520,88.99
1201287,88.53
1206687,88.57
1215402,88.70
1216228,88.46
1224786,88.61
1233107,88.71
1238088,88.87
1246532,89.01
1255150,89.12
1265026,89.21
1265800,88.15
1270951,88.92
1271703,88.19
1277073,88.42
1285509,88.53
1294127,88.64
1298758,89.19
1299585,89.06
1304415,89.27
1305199,88.77
1313747,88.89
1319090,89.38
1324670,89.68
1334892,89.81
1340034,89.86
1344878,90.06
1345708,89.78
1354192,89.84
1362846,89.96
1371337,90.04
1372126,89.31
1377076,89.53
1377897,88.50
1378663,87.89
1383512,88.85
1384292,87.75
1392890,87.89
1398425,88.41
1399288,87.60
1403992,88.66
1413902,88.75
1414700,87.93
1420601,88.22
1429192,88.34
1429937,87.38
1435344,87.80
1444195,87.94
1445061,87.55
1445833,87.05
1454428,87.13
1455236,86.58
1463775,86.67
1464636,85.63
1470083,86.11
1478947,86.23
1485726,86.49
1491244,86.93
1496368,87.30
1504850,87.40
1513600,87.49
1514447,86.47
1520152,86.95
1520924,86.14
1526395,86.85
1531806,86.86
1536625,87.30
1545314,87.42
1554419,87.55
1564423,87.64
1570077,88.04
1578882,88.16
1587647,88.28
1592997,88.56
1598006,88.90
1598783,88.64
1604172,89.10
1612867,89.18
1622121,89.26
1632593,89.34
1639029,89.44
1644847,89.49
1650243,89.61
1659363,89.68
1660184,88.93
1666149,89.20
1671294,89.31
1682737,89.37
1683617,89.25
1689026,89.47
1689808,89.35
1698768,89.43
1704267,89.44
1714296,89.52
1720051,89.78
1729850,89.88
1739768,89.96
1745655,90.15
1746554,89.15
1752306,89.99
1758606,90.25
1768003,90.29
1769038,89.55
1769727,88.54
1770439,87.96
1771187,87.07
1777329,87.62
1778086,87.50
1778804,86.60
1784901,87.16
1785680,86.54
1786408,86.52
1792531,86.71
1797997,87.10
1808756,87.22
1814733,87.76
1820611,88.26
1821628,87.68
1822274,87.06
1823003,86.88
1823797,86.85
1829328,87.33
1835654,87.61
1845198,87.70
1854503,87.82
1855339,87.16
1861363,87.63
1862128,87.06
1871510,87.14
1872354,86.99
1873092,86.08
1879137,86.55
1885038,86.85
1895541,86.95
1901480,86.99
1902250,86.32
1903012,86.11
1908993,86.31
1914185,86.80
1920433,86.98
1926533,87.14
1927451,86.22
1933686,86.89
1942867,87.01
1952352,87.13
1953165,87.12
1962324,87.21
1968225,87.38
1978552,87.48
1979305,86.95
1988792,87.06
1995378,87.08
1996221,86.57
2005643,86.70
2015431,86.81
2021945,86.83
2022711,86.32
2023431,86.07
2029512,86.18
2035937,86.67
2045719,86.79
2052347,86.95
2053218,86.09
2060192,86.81
2061067,86.46
2061814,86.13
2067655,86.48
2068352,85.69
2073933,85.95
2074739,85.21
2075428,84.95
2081793,85.26
2087354,85.72
2088338,85.45
2094056,85.71
2103579,85.80
2113169,85.89
2122692,85.97
2123480,85.12
2130236,85.34
2131152,85.20
2141600,85.32
2149577,85.73
2150322,85.39
2159559,85.46
2166582,85.56
2167379,85.53
2173294,85.76
2182710,85.84
2188606,86.21
2197988,86.27
2204669,86.32
2210778,86.45
2211528,85.76
2212267,85.15
2218566,85.20
2224838,85.41
2231067,85.93
2231871,85.58
2239586,85.62
2245864,85.64
2253586,85.75
2259762,85.92
2260594,85.89
2270285,85.96
2276413,86.16
2286147,86.22
2295748,86.33
2296533,86.04
2297305,85.61
2307110,85.71
2307948,85.24
2308617,84.83
2314489,85.14
2315265,84.75
2325902,84.85
2332369,84.95
2333073,84.43
2342829,84.54
2343659,83.95
2350408,84.21
2351311,83.40
2357689,83.68
2367448,83.80
2373255,84.28
2379471,84.65
2380266,84.62
2380989,84.12
2390761,84.23
2397530,84.46
2404160,84.70
2410538,84.93
2421558,85.04
2422344,84.69
2432303,84.76
2433151,84.27
2439434,84.75
2449524,84.84
2459571,84.90
2460420,84.37
2461189,84.36
2467911,84.82
2477835,84.91
2487676,84.97
2499023,85.08
2499859,84.47
2500617,84.29
2501476,83.79
2508692,83.95
2515986,84.05
2516852,84.02
2517643,83.60
2524344,83.80
2534474,83.93
2535326,83.61
2546543,83.73
2553780,83.82
2560344,84.16
2570192,84.25
2571027,84.00
2571832,83.30
2581800,83.42
2588767,83.67
2596985,83.87
2606870,83.95
2614091,83.99
2614870,83.35
2621250,83.47
2631097,83.58
2631843,83.19
2638745,83.55
2645109,83.93
2645900,83.68
2656044,83.78
2662724,83.86
2670477,83.98
2671339,83.57
2680284,83.93
2681190,83.91
2692610,84.03
2693474,83.87
2700766,83.87
2708139,84.02
2708896,83.29
2715582,83.30
2722023,83.91
2723155,83.76
2729963,83.93
2730908,83.32
2737528,83.85
2738339,83.34
2739213,83.13
2749512,83.24
2759925,83.32
2767123,83.74
2767882,83.62
2777848,83.72
2784549,83.97
2792082,84.23
2802177,84.32
2812581,84.38
2813337,83.94
2823702,84.04
2833969,84.14
2844629,84.24
2855497,84.34
2862742,84.66
2863541,84.42
2875544,84.49
2885983,84.57
2896249,84.64
2903214,84.80
2913614,84.87
2924442,84.97
2925257,84.41
2932517,84.79
2942858,84.88
2943633,84.58
2950711,84.82
2963269,84.92
2963979,84.86
2964676,84.21
2972567,84.22
2979797,84.25
2980534,83.66
2987686,83.86
2988582,83.65
2989360,83.26
2990028,83.13
2997004,83.47
2997873,83.00
3021949,83.11
3029273,83.43
3036414,83.64
3037204,83.56
3043739,83.80
3051704,83.93
3052593,83.38
3063523,83.48
3072565,83.89
3073399,83.81
3080038,84.21
3086655,84.50
3097137,84.56
3108062,84.62
3119035,84.73
3126664,84.85
3137246,84.91
3147905,84.99
3148742,84.90
3161531,84.95
3162405,84.49
3170383,84.65
3177678,84.66
3184658,84.88
3185460,84.23
3192667,84.68
3199737,84.69
3200515,84.31
3201223,84.00
3207899,84.40
3214414,84.72
3224720,84.80
3225491,84.16
3232199,84.77
3239199,84.77
3249498,84.83
3261632,84.91
3262449,84.75
3273337,84.80
3274252,84.16
3282160,84.36
3292471,84.46
3293252,83.86
3304417,83.96
3315470,84.06
3316263,84.05
3317074,83.44
3317760,83.33
3324777,83.89
3325590,83.34
3332901,83.65
3340451,84.01
3347835,84.34
3360207,84.43
3371647,84.50
3383068,84.56
3391039,84.65
3391809,84.05
3399048,84.38
3406187,84.57
3407066,84.18
3407846,84.07
3408547,83.47
3409251,83.32
3409993,83.16
3410700,83.10
3418401,83.29
3425607,83.69
3436280,83.79
3437059,83.58
3437761,83.26
3438476,83.11
3446401,83.15
3453175,83.48
3465509,83.58
3466345,83.17
3473486,83.50
3484161,83.57
3495778,83.64
3502950,83.99
3503696,83.69
3511620,83.85
3522385,83.95
3533312,84.04
3534155,83.90
3545207,83.98
3553069,84.21
3565876,84.27
3573632,84.50
3584598,84.57
3595920,84.64
3606865,84.73
3615068,84.79
3625015,84.85
3633373,84.99
3634123,84.75
3634830,84.34
3642341,84.59
3643157,84.50
3650932,84.69
3663341,84.77
3671840,84.79
3685434,84.87
3686179,84.53
3686889,84.19
3687658,83.73
3688303,83.38
3696480,83.55
3703922,83.91
3711462,83.93
3719259,84.11
3720121,83.95
3727247,84.24
3738269,84.33
3746638,84.45
3757735,84.53
3758527,84.04
3759351,83.73
3768253,84.01
3777011,84.13
3785347,84.32
3796627,84.38
3797391,84.31
3808692,84.38
3820011,84.45
3820969,83.95
3828431,84.42
3839603,84.48
3840397,84.14
3851527,84.20
3858982,84.48
3868173,84.56
3869071,84.11
3869882,84.11
3878024,84.36
3889258,84.43
3890022,84.29
3890711,84.15
3891405,83.63
3899303,83.64
3907000,83.96
3915544,84.03
3926862,84.10
3938537,84.18
3950025,84.24
3958080,84.32
3970929,84.41
3978946,84.49
3979750,84.22
3987945,84.34
3995876,84.42
4007523,84.49
4019350,84.57
4027492,84.78
4036151,84.92
4047690,84.96
4059392,85.04
4060199,84.68
4069018,84.78
4078767,85.01
4090698,85.07
4099509,85.12
4107652,85.29
4115261,85.47
4126801,85.54
4139181,85.58
4140150,85.35
4149581,85.42
4150486,85.07
4158687,85.16
4170308,85.22
4171216,84.74
4172026,84.68
4181107,85.00
4194751,85.05
4203164,85.15
4203994,84.66
4212051,84.87
4223379,84.95
4224147,84.83
4232757,84.93
4244447,85.00
4252316,85.25
4260198,85.34
4261043,85.06
4261785,85.05
4270030,85.21
4270890,85.11
4279498,85.11
4291314,85.17
4301071,85.18
4312754,85.21
4324647,85.28
4325387,84.83
4333366,85.26
4344751,85.31
4345554,84.98
4356964,85.05
4368509,85.10
4377062,85.11
4389059,85.17
4398889,85.43
4410509,85.49
4419282,85.61
4431039,85.65
4431804,85.57
4443845,85.63
4455933,85.66
4456845,85.51
4468586,85.56
4477615,85.61
4486064,85.79
4499007,85.83
4511153,85.88
4511929,85.57
4521110,85.69
4521999,85.41
4522696,84.92
4523496,84.76
4532275,85.02
4541378,85.12
4553567,85.18
4562533,85.20
4574400,85.25
4575155,84.84
4584551,85.03
4593215,85.28
4593993,85.20
4602219,85.43
4602992,85.19
4616116,85.24
4625381,85.35
4637480,85.41
4649650,85.44
4658765,85.49
4670876,85.54
4671632,85.44
4674357,85.09
4675193,84.80
4676200,84.36
4685401,84.67
4697773,84.74
4698552,84.45
4707593,84.78
4716941,84.88
4717734,84.43
4726621,84.65
4739989,84.70
4748711,84.93
4749547,84.52
4758141,84.76
4766452,85.01
4767277,84.77
4775353,85.18
4787508,85.25
4788351,85.20
4797916,85.25
4798706,84.79
4807662,84.97
4819894,85.01
4832355,85.06
4841582,85.07
4855227,85.13
4864143,85.37
4864974,84.97
4874010,85.10
4883288,85.15
4884071,84.78
4896539,84.84
4908974,84.90
4918015,85.12
4918877,85.01
4927832,85.05
4940451,85.11
4949594,85.29
4958423,85.46
4968959,85.48
4977862,85.63
4986777,85.80
4987682,85.66
5000839,85.70
5013579,85.76
5026226,85.79
5039083,85.84
5048288,85.96
5049007,85.75
5049744,85.58
5058361,85.80
5059211,85.54
5068404,85.54
5081836,85.58
5091295,85.59
5092310,85.23
5093054,84.89
5093894,84.56
5102462,84.88
5103289,84.69
5115579,84.74
5128144,84.80
5129036,84.69
5138845,84.80
5151323,84.86
5152106,84.58
5152796,84.37
5162682,84.42
5175100,84.48
5185161,84.53
5186124,84.30
5200438,84.37
5201274,84.06
5210118,84.36
5219452,84.45
5232031,84.52
5241744,84.63
5251241,84.75
5260129,84.98
5269917,85.06
5279612,85.09
5292480,85.14
5293443,85.04
5294275,84.94
5307121,85.00
5308090,84.77
5308955,84.61
5317879,84.81
5332086,84.84
5344852,84.90
5357812,84.94
5358601,84.86
5367505,85.07
5380193,85.13
5390077,85.14
5399896,85.27
5400690,85.11
5410286,85.28
5419580,85.43
5420446,85.35
5429744,85.42
5430525,85.41
5444450,85.47
5453917,85.60
5463738,85.71
5464542,85.57
5473930,85.71
5486873,85.77
5500058,85.82
5509553,85.92
5510353,85.78
5523141,85.84
5533177,85.88
5542807,85.89
5543622,85.81
5556356,85.86
5557199,85.48
5568343,85.76
5578138,85.84
5578984,85.46
5588396,85.68
5597726,85.83
5611033,85.86
5612072,85.72
5621210,85.91
5622018,85.66
5630967,85.89
5643626,85.94
5644397,85.50
5653999,85.67
5663700,85.74
5678970,85.79
5679740,85.42
5680469,85.31
5689904,85.67
5690914,85.58
5691744,85.57
5702606,85.72
5703704,85.32
5713555,85.58
5724231,85.64
5733650,85.81
5746559,85.85
5755935,86.02
5765387,86.18
5776032,86.21
5789286,86.24
5790089,86.12
5790804,85.79
5801238,85.80
5802143,85.56
5803029,85.49
5813699,85.71
5827304,85.75
5828185,85.74
5829024,85.35
5840018,85.68
5853452,85.74
5863896,85.86
5864627,85.53
5874151,85.73
5887194,85.79
5900552,85.85
5914224,85.91
5915014,85.52
5926015,85.58
5936174,85.62
5945820,85.86
5946606,85.47
5947297,85.15
5948032,85.12
5948810,84.83
5949498,84.43
5959176,84.74
5970281,85.08
5971235,84.73
5984717,84.78
5994379,84.96
6003504,85.25
6004420,85.04
6005301,84.98
6005989,84.66
6006624,84.33
6016456,84.57
6017242,84.22
6026443,84.53
6027185,84.29
6037371,84.30
6038188,84.06
6048375,84.13
6057753,84.41
6058588,84.33
6059313,84.27
6060032,84.12
6069388,84.43
6082612,84.48
6083436,84.19
6084085,83.97
6094377,84.00
6104301,84.13
6118827,84.19
6132048,84.24
6142084,84.25
6151722,84.27
6165140,84.32
6165916,84.24
6175799,84.41
6176583,84.10
6187130,84.18
6197196,84.37
6207548,84.51
6208446,84.43
6218410,84.65
6228721,84.68
6243395,84.74
6253897,84.81
6267374,84.84
6268138,84.75
6268868,84.47
6269628,84.31
6270512,84.13
6283595,84.20
6284377,83.96
6294333,84.15
6307659,84.19
6308383,83.98
6318769,84.02
6332204,84.07
6342425,84.12
6352350,84.13
6353116,83.96
6353897,83.81
6363873,83.89
6378717,83.95
6379562,83.64
6380282,83.45
6389817,83.75
6390792,83.69
6400108,84.00
6410336,84.06
6411140,84.05
6424686,84.08
6438150,84.12
6451687,84.16
6461528,84.31
6471484,84.45
6472333,84.22
6482624,84.34
6483423,83.95
6493278,84.33
6494043,84.16
6494817,83.84
6495520,83.79
6510362,83.84
6520892,84.03
6534743,84.08
6535508,83.76
6546342,83.83
6547128,83.61
6560596,83.66
6570302,83.88
6583846,83.92
6593550,84.14
6607199,84.18
6608235,84.16
6623764,84.19
6635681,84.20
6649537,84.25
6660351,84.29
6661169,83.94
6674247,84.02
6685363,84.16
6695932,84.19
6709644,84.24
6720354,84.25
6734673,84.30
6735623,84.04
6736310,83.66
6747035,83.79
6757955,83.86
6769335,84.05
6783313,84.11
6784307,83.82
6785064,83.68
6785976,83.33
6796365,83.50
6807283,83.54
6818313,83.67
6832362,83.71
6846466,83.74
6857436,83.79
6868023,83.96
6878688,84.02
6879734,83.74
